age,wc,edu,ms,occ,rel,race,sex,hpw,waob,incc
17, 8,18,1,2,2,5 ,2,20,1,1
29,4,19,1,7,1,5,2,30, 1,1
35,1,21,5,6,1,5,2,40,1,1
38,1,16,4,2,1,4,1,40,3,1
5,1,13,5,2,14,5,1,40,1,1
3,1,19,5,13,16,5,2,35,1,1
17,1,22,1,3,1,5,1,20,4,1
8,1,21,5,1,8,5,2,45,1,1
4,1,18,5,6,6,5,1,28,1,1
26,2,21,1,16,1,5,2,40,1,1
64,1,20,1,25,1,5,1,40,1,1
32,1,16,4,25,1,3,1,54,6,1
29,3,21,1,7,2,5,2,34,1,1
20,1,19,1,15,1,3,2,34,1,1
16,7,19,1,20,1,4,2,54,3,1
11,1,22,5,8,1,5,1,60,1,2
9,1,20,5,18,1,5,1,45,1,1
37,1,21,1,16,2,5,1,50,1,2
38,2,21,5,4,1,5,1,32,1,2
55,4,22,1,4,2,1,1,40,1,1
49,7,24,1,22,2,5,1,20,1,2
11,1,15,5,20,3,5,2,3,3,1
22,2,22,3,4,3,3,2,35,3,1
17,1,21,5,20,3,5,2,29,1,1
18,1,20,3,9,14,5,1,50,1,2
27,1,22,5,9,14,5,1,40,1,1
13,7,23,5,14,1,5,2,45,1,1
45,1,20,1,12,2,5,2,30,1,1
31,5,12,1,16,1,5,2,40,1,2
30,1,17,1,2,2,5,2,40,3,1
37,1,21,1,15,2,5,2,23,1,1
5,1,18,5,23,4,5,1,40,1,1
20,1,22,1,6,2,5,1,35,1,1
6,1,21,5,18,8,5,2,24,5,1
5,1,16,5,6,3,5,1,20,1,1
26,1,17,3,23,1,5,2,40,1,1
14,1,14,5,16,3,5,2,40,1,1
13,1,15,3,25,3,4,2,40,1,1
25,2,17,5,15,1,4,2,40,1,2
40,7,16,1,5,2,5,1,30,1,1
42,2,22,1,7,2,5,2,40,1,2
42,5,20,5,15,14,5,2,40,1,1
23,1,16,1,5,2,5,1,20,2,1
37,1,16,1,18,1,5,2,36,1,1
3,1,16,5,5,3,4,1,20,1,1
8,1,16,5,25,3,5,2,50,1,1
46,4,17,1,7,1,3,1,40,1,2
23,4,21,1,4,1,5,2,40,1,2
30,1,21,1,25,1,5,1,40,1,2
54,4,22,3,7,1,5,2,35,1,2
36,1,14,3,25,1,5,1,70,1,2
38,1,21,3,16,1,5,1,45,1,2
22,1,16,1,15,3,5,2,48,1,2
24,1,11,1,2,1,5,1,40,3,1
16,1,19,4,16,1,5,1,50,1,1
22,1,16,4,5,1,5,1,50,1,2
16,5,19,1,18,2,3,2,40,1,1
37,1,22,3,1,1,5,2,42,4,2
25,1,19,1,19,2,5,1,42,1,1
40,4,21,1,4,1,5,2,30,1,1
39,2,23,1,15,2,5,2,70,1,2
15,1,22,1,3,2,5,1,55,1,2
20,1,21,1,3,1,5,1,50,1,2
25,1,21,1,16,2,5,1,40,3,2
20,3,19,1,18,2,5,2,24,1,1
23,1,21,5,15,14,2,1,36,4,2
40,3,21,1,7,2,5,2,40,1,1
48,2,16,1,19,2,5,2,30,1,1
50,3,24,5,16,1,5,2,40,1,2
37,1,16,1,18,2,3,2,40,1,1
19,3,16,5,18,3,5,2,40,1,1
29,1,20,5,1,1,5,1,50,1,2
29,1,22,1,3,1,5,1,45,1,2
6,5,19,5,17,18,5,1,40,1,1
